text,label
I feel very happy and relaxed today,no_stress
Life has been amazing and I feel blessed,no_stress
I'm worried about my exams and can't sleep,anxiety
My heart races every time I think about my job,anxiety
I feel so low and tired all the time,depression
"Nothing excites me anymore, I just want to sleep",depression
I'm proud of myself for completing my project,no_stress
I keep thinking people are judging me,anxiety
Sometimes I just want to cry for no reason,depression
Today I went out with friends and had a great time,no_stress
I’m nervous before every presentation,anxiety
I feel worthless and hopeless,depression
My life feels meaningless lately,depression
Everything is working perfectly no worries at all,no_stress
I'm anxious about what people think of me,anxiety
