text,label
Sun Aug 30 07 48 37 0000 2015,it's just over 2 years since i was diagnosed with #anxiety and #depression. today i'm taking a moment to reflect on how far i've come since.
Sun Aug 30 07 31 33 0000 2015,"it's sunday, i need a break, so i'm planning to spend as little time as possible on the #a14..."
Sat Aug 29 22 11 07 0000 2015,awake but tired. i need to sleep but my brain has other ideas...
Sat Aug 29 18 40 49 0000 2015,rt @sewhq: #retro bears make perfect gifts and are great for beginners too! get stitching with october's sew on sale now! #yay http://t.co/…
Sat Aug 29 18 40 26 0000 2015,it’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety
Sat Aug 29 18 26 24 0000 2015,making packing lists is my new hobby... #movinghouse
Sat Aug 29 18 21 51 0000 2015,at what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse
Sat Aug 29 18 12 59 0000 2015,currently in the finding-boxes-of-random-shit packing phase. i think i’m a closet hoarder...
Sat Aug 29 18 04 05 0000 2015,"can't be bothered to cook, take away on the way 😁👍🏼 #lazy"
Sat Aug 29 17 54 54 0000 2015,rt @itventsnews: itv releases promo video for the final series of downton abbey http://t.co/mc8ive72zr http://t.co/cfbkrrvjis
Sat Aug 29 17 54 08 0000 2015,"... also, i have too much stuff. way, way too much #movinghouse"
Sat Aug 29 17 52 44 0000 2015,i never want to put one of these together again #lotharderthanitlooks http://t.co/70ujltcklb
Sat Aug 29 09 19 29 0000 2015,moving stuff is bloomin’ knackering... and there’s still loads to do... 😥
Sat Aug 29 09 02 08 0000 2015,"back at the house, moving stuff. it’s so peaceful here... i ❤️ 🏡 😊"
Fri Aug 28 17 22 02 0000 2015,urgh. anxiety. ffs where does it come from?! (breathe...)
Fri Aug 28 17 07 45 0000 2015,"i have too much stuff. way, way too much... massive purge on the way."
Fri Aug 28 11 23 44 0000 2015,hideous traffic on the a14. must remember to pay closer attention to the traffic reports...
Fri Aug 28 10 20 38 0000 2015,packing and purging. feels good 😊👍🏼
Fri Aug 28 08 36 30 0000 2015,in b&amp;q looking at internal doors. fun times 😉
Fri Aug 28 06 10 11 0000 2015,"time to get up. so many things to do, such a busy day ahead..."
Fri Aug 28 05 23 24 0000 2015,it's 6:20... do i get up or lie here a little longer with my cat buddy... ❓
Fri Aug 28 05 20 16 0000 2015,there's nothing like cocktails and exhaustion to aid a good night's  sleep...
Thu Aug 27 20 20 44 0000 2015,great night out with my favourite ladies. much needed after the past few days. i love them so much 💕
Wed Aug 26 18 19 43 0000 2015,sat down on the sofa for a quick rest... an hour ago. need to move.
Wed Aug 26 15 35 21 0000 2015,how much do i want pizza right now...?
Wed Aug 26 07 42 51 0000 2015,"i will always love you.

peter gabriel - in your eyes http://t.co/foaexmvoid"
Wed Aug 26 07 36 08 0000 2015,such a busy day ahead. i need to focus but i'm feeling on the edge of derailment right now.
Wed Aug 26 07 28 04 0000 2015,even now the smallest thing still makes my heart break. i doesn't feel like that ever goes away.
Wed Aug 26 06 46 15 0000 2015,"why is choosing a curtain pole suddenly so confusing? too. many. choices. and yes, i know this isn't a 'real' problem."
Tue Aug 25 18 25 06 0000 2015,completed on my house. got the keys. what a fab day! whoop! 🏡🎉💕
Tue Aug 25 08 18 30 0000 2015,"rt @cphighwycombe: @catsprotection hi - could you retweet our long stayers, sammy and suki? photographed them today...buckscats.org.uk http…"
Tue Aug 25 05 39 04 0000 2015,big day today 🏡😁🎉
Mon Aug 24 21 29 56 0000 2015,how lovely #pandastory  https://t.co/ggavekymp7
Mon Aug 24 18 35 17 0000 2015,rt @sewhq: the weather outside is frightful...but our makes are so delightful! here's a sneak peak of october issue's projects! http://t.co…
Mon Aug 24 18 21 05 0000 2015,that's good news at least https://t.co/1s0l7zaqjr
Mon Aug 24 18 20 37 0000 2015,had a headache so took a nap. for three hours! woke up a bit confused as to time and day... 😴
Mon Aug 24 15 02 17 0000 2015,rt @deliciousmag: on a budget? we have 21 recipes for £1.50 or less a head and they don't compromise on flavour. http://t.co/0cgzpxjlrp htt…
